col1	col2	col3	eda	hr	temp
15.0	35.0	84.0	0.08968200000000001	79.25	35.23
-5.0	41.0	42.0	0.079433	79.42	35.23
-2.0	72.0	30.0	0.12171199999999999	79.6	35.23
-17.0	55.0	22.0	0.098651	79.73	35.25
-9.0	4.0	6.0	0.042279000000000004	79.9	35.23
-84.0	27.0	-9.0	0.09608799999999999	80.08	35.25
-38.0	-1.0	0.0	0.06534	80.28	35.27
-59.0	16.0	18.0	0.090964	80.58	35.25
-59.0	19.0	19.0	0.098651	80.92	35.23
-62.0	19.0	16.0	0.099932	81.25	35.25
-52.0	21.0	31.0	0.11274400000000001	81.58	35.25
-62.0	16.0	16.0	0.093526	82.08	35.23
-61.0	16.0	17.0	0.101213	82.55	35.21
-61.0	18.0	19.0	0.107619	83.02	35.21
-60.0	17.0	19.0	0.110181	83.47	35.18
-61.0	17.0	18.0	0.114025	83.92	35.18
-61.0	17.0	19.0	0.114025	84.4	35.18
-60.0	17.0	19.0	0.11530599999999999	84.85	35.16
-61.0	18.0	19.0	0.11658699999999998	85.3	35.16
-60.0	17.0	19.0	0.11530599999999999	85.77	35.18
-61.0	18.0	19.0	0.117868	86.25	35.18
-61.0	18.0	18.0	0.119149	86.73	35.18
-60.0	18.0	19.0	0.114025	87.22	35.21
-60.0	18.0	19.0	0.117868	87.72	35.21
-60.0	19.0	19.0	0.117868	88.17	35.18
-60.0	18.0	19.0	0.117868	88.58	35.18
-60.0	18.0	19.0	0.119149	88.92	35.21
-60.0	18.0	19.0	0.119149	89.25	35.18
-61.0	17.0	19.0	0.120431	89.67	35.21
-60.0	18.0	19.0	0.12171199999999999	90.07	35.21
-60.0	18.0	19.0	0.12171199999999999	90.32	35.21
-60.0	18.0	19.0	0.122993	90.55	35.21
-60.0	18.0	19.0	0.122993	90.72	35.23
-60.0	18.0	19.0	0.124274	90.88	35.21
-60.0	19.0	19.0	0.124274	91.03	35.21
-60.0	19.0	19.0	0.125555	91.2	35.18
-61.0	19.0	19.0	0.124274	91.33	35.23
-60.0	19.0	19.0	0.125555	91.47	35.21
-60.0	19.0	18.0	0.125555	91.58	35.23
-60.0	19.0	19.0	0.125555	91.7	35.21
-60.0	19.0	19.0	0.12683599999999998	91.8	35.21
-60.0	19.0	19.0	0.12683599999999998	91.88	35.21
-60.0	19.0	19.0	0.12683599999999998	92.0	35.23
-60.0	19.0	18.0	0.128118	92.12	35.23
-60.0	19.0	18.0	0.125555	92.2	35.21
-59.0	17.0	22.0	0.12683599999999998	92.27	35.21
-62.0	19.0	22.0	0.12683599999999998	92.32	35.21
-59.0	17.0	22.0	0.128118	92.37	35.18
-59.0	17.0	23.0	0.128118	92.4	35.18
-60.0	17.0	21.0	0.128118	92.37	35.18
-59.0	18.0	21.0	0.12939900000000001	92.37	35.18
-59.0	18.0	21.0	0.12939900000000001	92.35	35.21
-60.0	18.0	20.0	0.12939900000000001	92.33	35.21
-60.0	18.0	20.0	0.12939900000000001	92.32	35.18
-59.0	18.0	20.0	0.13068	92.32	35.18
-59.0	19.0	21.0	0.13068	92.43	35.18
-59.0	19.0	21.0	0.13068	92.55	35.18
-59.0	19.0	21.0	0.131961	92.68	35.16
-59.0	19.0	21.0	0.13068	92.8	35.16
-60.0	19.0	20.0	0.131961	92.92	35.16
-59.0	19.0	20.0	0.131961	93.05	35.16
-59.0	20.0	20.0	0.131961	93.15	35.16
-59.0	19.0	20.0	0.131961	93.25	35.15
-59.0	20.0	20.0	0.13068	93.35	35.15
-59.0	20.0	20.0	0.13068	93.42	35.13
-49.0	23.0	36.0	0.133242	93.47	35.13
-60.0	18.0	19.0	0.12939900000000001	93.5	35.13
-60.0	19.0	19.0	0.13068	93.43	35.13
-59.0	19.0	20.0	0.13068	93.37	35.13
-60.0	19.0	19.0	0.12939900000000001	93.3	35.11
-60.0	19.0	19.0	0.131961	93.23	35.13
-62.0	19.0	19.0	0.131961	93.0	35.11
-61.0	18.0	17.0	0.131961	92.8	35.11
-61.0	19.0	17.0	0.131961	92.62	35.11
-60.0	19.0	18.0	0.131961	92.45	35.11
-60.0	20.0	19.0	0.133242	92.3	35.11
-61.0	19.0	18.0	0.133242	92.15	35.11
-60.0	20.0	18.0	0.133242	92.0	35.09
-60.0	19.0	18.0	0.133242	91.85	35.11
-60.0	19.0	18.0	0.133242	91.72	35.09
-60.0	20.0	18.0	0.133242	91.58	35.09
-60.0	19.0	18.0	0.133242	91.47	35.09
-60.0	19.0	18.0	0.133242	91.35	35.09
-60.0	20.0	18.0	0.134524	91.23	35.09
-60.0	17.0	21.0	0.134524	91.12	35.09
-61.0	18.0	19.0	0.134524	91.02	35.07
-61.0	19.0	19.0	0.134524	90.92	35.07
-60.0	19.0	19.0	0.135805	90.8	35.07
-60.0	18.0	19.0	0.135805	90.7	35.07
-60.0	20.0	19.0	0.135805	90.6	35.07
-60.0	19.0	19.0	0.134524	90.52	35.07
-60.0	19.0	18.0	0.134524	90.42	35.07
-60.0	20.0	18.0	0.134524	90.33	35.07
-60.0	19.0	18.0	0.134524	90.27	35.07
-60.0	19.0	19.0	0.134524	90.2	35.05
-60.0	19.0	18.0	0.133242	90.13	35.05
